workload,tokens_per_rank,retained_context_C,row_macrobatch_size,new_selected_path,old_default_fwd_config,old_default_fwd_latency_ms,old_default_fwd_derived_aggregate_useful_gbps,old_default_fwd_derived_per_gpu_useful_gbps,old_default_bwd_config,old_default_bwd_latency_ms,old_default_bwd_derived_aggregate_useful_gbps,old_default_bwd_derived_per_gpu_useful_gbps,old_default_fwd_bwd_config,old_default_fwd_bwd_latency_ms,old_default_fwd_bwd_derived_aggregate_useful_gbps,old_default_fwd_bwd_derived_per_gpu_useful_gbps,old_tuned_fwd_config,old_tuned_fwd_latency_ms,old_tuned_fwd_derived_aggregate_useful_gbps,old_tuned_fwd_derived_per_gpu_useful_gbps,old_tuned_bwd_config,old_tuned_bwd_latency_ms,old_tuned_bwd_derived_aggregate_useful_gbps,old_tuned_bwd_derived_per_gpu_useful_gbps,old_tuned_fwd_bwd_config,old_tuned_fwd_bwd_latency_ms,old_tuned_fwd_bwd_derived_aggregate_useful_gbps,old_tuned_fwd_bwd_derived_per_gpu_useful_gbps,new_selected_fwd_config,new_selected_fwd_latency_ms,new_selected_fwd_derived_aggregate_useful_gbps,new_selected_fwd_derived_per_gpu_useful_gbps,new_selected_bwd_config,new_selected_bwd_latency_ms,new_selected_bwd_derived_aggregate_useful_gbps,new_selected_bwd_derived_per_gpu_useful_gbps,new_selected_fwd_bwd_config,new_selected_fwd_bwd_latency_ms,new_selected_fwd_bwd_derived_aggregate_useful_gbps,new_selected_fwd_bwd_derived_per_gpu_useful_gbps,new_vs_old_default_fwd_speedup_x,new_vs_old_default_fwd_paired_median_delta_percent,new_vs_old_default_fwd_paired_p90_delta_percent,new_vs_old_default_fwd_stable_win,new_vs_old_default_bwd_speedup_x,new_vs_old_default_bwd_paired_median_delta_percent,new_vs_old_default_bwd_paired_p90_delta_percent,new_vs_old_default_bwd_stable_win,new_vs_old_default_fwd_bwd_speedup_x,new_vs_old_default_fwd_bwd_paired_median_delta_percent,new_vs_old_default_fwd_bwd_paired_p90_delta_percent,new_vs_old_default_fwd_bwd_stable_win,new_vs_old_tuned_fwd_speedup_x,new_vs_old_tuned_fwd_paired_median_delta_percent,new_vs_old_tuned_fwd_paired_p90_delta_percent,new_vs_old_tuned_fwd_stable_win,new_vs_old_tuned_bwd_speedup_x,new_vs_old_tuned_bwd_paired_median_delta_percent,new_vs_old_tuned_bwd_paired_p90_delta_percent,new_vs_old_tuned_bwd_stable_win,new_vs_old_tuned_fwd_bwd_speedup_x,new_vs_old_tuned_fwd_bwd_paired_median_delta_percent,new_vs_old_tuned_fwd_bwd_paired_p90_delta_percent,new_vs_old_tuned_fwd_bwd_stable_win
20k,20480,217088,4096,ep8_full_context_fine,F kernelB=4096 mini/SM=4096/40,13.480303764343262,1742.0952852796563,217.76191065995704,B ringB=4096 mini/SM=4096/28,48.00566482543945,489.43058077489957,61.178822596862446,F kernelB=4096 mini/SM=4096/40; B ringB=4096 mini/SM=4096/28,61.480369567871094,764.1368192515043,95.51710240643804,F kernelB=4096 mini/SM=1024/36,9.62449598312378,2440.0211370214433,305.0026421276804,B ringB=4096 mini/SM=4096/38,46.96859169006348,500.2372770944848,62.5296596368106,F kernelB=4096 mini/SM=1024/38; B ringB=4096 mini/SM=4096/38,56.603118896484375,829.9792478558614,103.74740598198268,path=ep8_full_context_fine; F kernelB=217088 mini/SM=13568/52,6.311376094818115,3720.895931282126,465.1119914102658,path=ep8_full_context_fine; B ringB=4096 mini/SM=2048/46,16.500704765319824,1423.905266481786,177.98815831022324,path=ep8_full_context_fine; F kernelB=217088 mini/SM=13568/52; B ringB=4096 mini/SM=2048/48,22.824079513549805,2058.3267780902215,257.2908472612777,2.135873946002222,-53.179862456221784,-52.756697757795166,True,2.90930996634367,-65.62103600253961,-65.52244453270336,True,2.6936626088851683,-62.8806947363855,-62.760376390694375,True,1.5249441387316254,-34.283997193917614,-33.32451193080081,True,2.8464597335732713,-64.87528121406584,-64.78628351408051,True,2.4799737865827716,-59.68106191909645,-59.61624897061176,True
20k,20480,217088,8192,ep8_full_context_fine,F kernelB=8192 mini/SM=4096/40,8.819728374481201,2662.6640452950896,332.8330056618862,B ringB=8192 mini/SM=4096/28,34.35902404785156,683.8215306487772,85.47769133109715,F kernelB=8192 mini/SM=4096/40; B ringB=8192 mini/SM=4096/28,43.17695999145508,1088.0667387721935,136.0083423465242,F kernelB=8192 mini/SM=2048/48,7.583008050918579,3096.9205721936737,387.1150715242092,B ringB=8192 mini/SM=4096/44,32.51985549926758,722.4952280777868,90.31190350972335,F kernelB=8192 mini/SM=2048/48; B ringB=8192 mini/SM=4096/44,40.098880767822266,1171.5891603064165,146.44864503830206,path=ep8_full_context_fine; F kernelB=217088 mini/SM=13568/52,6.2832159996032715,3737.5722294892935,467.1965286861617,path=ep8_full_context_fine; B ringB=8192 mini/SM=2048/46,12.281904220581055,1913.0128353084026,239.12660441355033,path=ep8_full_context_fine; F kernelB=217088 mini/SM=13568/50; B ringB=8192 mini/SM=2048/46,18.59585666656494,2526.3377154583177,315.7922144322897,1.4036965106783035,-28.913248973056426,-27.879901377819056,True,2.7975323232268328,-64.2580327657141,-64.19325649618698,True,2.3218591520489924,-56.909662361993526,-56.65862388008138,True,1.206867319442365,-17.252346436578136,-16.553784993227364,True,2.6477861181145954,-62.234440044059816,-62.16088083547599,True,2.156334149419393,-53.60991512892964,-53.30134669193006,True
20k,20480,217088,12288,ep8_full_context_fine,F kernelB=12288 mini/SM=4096/40,7.696975946426392,3051.064963104544,381.383120388068,B ringB=12288 mini/SM=4096/28,29.828783988952637,787.6767763882615,98.45959704853269,F kernelB=12288 mini/SM=4096/40; B ringB=12288 mini/SM=4096/28,37.57209587097168,1250.3804474824744,156.2975559353093,F kernelB=12288 mini/SM=4096/52,7.232815980911255,3246.8645260682106,405.8580657585263,B ringB=12288 mini/SM=4096/48,27.18160057067871,864.3876711713938,108.04845889642422,F kernelB=12288 mini/SM=4096/52; B ringB=12288 mini/SM=4096/48,34.415103912353516,1365.0812784887871,170.6351598110984,path=ep8_full_context_fine; F kernelB=217088 mini/SM=13568/52,6.288991928100586,3734.139572841315,466.76744660516437,path=ep8_full_context_fine; B ringB=12288 mini/SM=4096/52,10.452991962432861,2247.723953145717,280.96549414321464,path=ep8_full_context_fine; F kernelB=217088 mini/SM=13568/52; B ringB=12288 mini/SM=4096/52,16.72862434387207,2808.3250052302847,351.0406256537856,1.2238807164045842,-18.446617088301785,-17.258268078481578,True,2.8536120659189903,-64.94649817575399,-64.76436614270837,True,2.2459764233234676,-55.46873151182779,-55.10951134523289,True,1.1500755707116521,-12.84144537627634,-11.3858204166022,True,2.6003655860797563,-61.52771785249885,-61.364121187153025,True,2.0572584574152537,-51.36643823265142,-51.114263196057216,True
20k,20480,217088,16384,ep8_full_context_fine,F kernelB=16384 mini/SM=4096/40,7.612400054931641,3084.963147304124,385.6203934130155,B ringB=16384 mini/SM=4096/28,27.100719451904297,866.9674049686174,108.37092562107718,F kernelB=16384 mini/SM=4096/40; B ringB=16384 mini/SM=4096/28,34.68239974975586,1354.5606528663202,169.32008160829002,F kernelB=16384 mini/SM=4096/52,6.889456033706665,3408.683286039515,426.0854107549394,B ringB=16384 mini/SM=4096/50,24.65539264678955,952.9534066884718,119.11917583605897,F kernelB=16384 mini/SM=4096/52; B ringB=16384 mini/SM=4096/50,31.552480697631836,1488.9293332655784,186.1161666581973,path=ep8_full_context_fine; F kernelB=217088 mini/SM=13568/52,6.261919975280762,3750.28325572734,468.7854069659175,path=ep8_full_context_fine; B ringB=16384 mini/SM=4096/52,10.390496253967285,2261.24333638338,282.6554170479225,path=ep8_full_context_fine; F kernelB=217088 mini/SM=13568/52; B ringB=16384 mini/SM=4096/54,16.681471824645996,2816.2631296472528,352.0328912059066,1.215665496362452,-17.61858187309423,-16.83755070501647,True,2.6082218586582653,-61.641124703753604,-61.54400754524994,True,2.0790971033212093,-51.87596107750868,-51.74969360733774,True,1.100214640382364,-9.279185531756013,-7.839064837083974,True,2.372879220025286,-57.8579294268488,-57.71238286758046,True,1.891468632343023,-47.07525277115863,-46.848351273861766,True
20k,20480,217088,20480,ep8_full_context_fine,F kernelB=20480 mini/SM=4096/40,7.5463361740112305,3111.970244961559,388.99628062019485,B ringB=20480 mini/SM=4096/28,25.589759826660156,918.1579106311801,114.76973882889752,F kernelB=20480 mini/SM=4096/40; B ringB=20480 mini/SM=4096/28,33.157087326049805,1416.8739728561957,177.10924660702446,F kernelB=20480 mini/SM=4096/50,6.847007989883423,3429.8154269277898,428.7269283659737,B ringB=20480 mini/SM=4096/52,22.758928298950195,1032.3614586493416,129.0451823311677,F kernelB=20480 mini/SM=4096/52; B ringB=20480 mini/SM=4096/56,29.577712059020996,1588.33833916074,198.5422923950925,path=ep8_full_context_fine; F kernelB=217088 mini/SM=13568/52,6.28982400894165,3733.645583503616,466.705697937952,path=ep8_full_context_fine; B ringB=20480 mini/SM=4096/52,10.316271781921387,2277.5127403268175,284.6890925408522,path=ep8_full_context_fine; F kernelB=217088 mini/SM=13568/52; B ringB=20480 mini/SM=4096/52,16.579471588134766,2833.589345611063,354.1986682013829,1.1997690497036666,-16.748134047964953,-15.565905953656593,True,2.480524007859563,-59.67906953209805,-59.47611116809455,True,1.9998880633674083,-49.86962028229359,-49.55897371043721,True,1.0885849874574673,-7.96419241151935,-6.789240890666608,True,2.2061194954977608,-54.661084771636965,-54.588617730204696,True,1.7839960641561416,-43.900040413607705,-43.56929486151597,True
20k,20480,217088,28672,ep8_full_context_fine,F kernelB=28672 mini/SM=4096/40,7.504719972610474,3129.227168729553,391.1533960911941,B ringB=28672 mini/SM=4096/28,23.32203197479248,1007.435391624321,125.92942395304013,F kernelB=28672 mini/SM=4096/40; B ringB=28672 mini/SM=4096/28,30.844463348388672,1523.106870668062,190.38835883350774,F kernelB=28672 mini/SM=4096/50,6.713328123092651,3498.11199473765,437.26399934220626,B ringB=28672 mini/SM=4096/56,20.519424438476562,1145.034086430954,143.12926080386924,F kernelB=28672 mini/SM=4096/52; B ringB=28672 mini/SM=4096/56,27.156399726867676,1729.9573772851807,216.24467216064758,path=ep8_full_context_fine; F kernelB=217088 mini/SM=13568/52,6.2858240604400635,3736.021467701709,467.0026834627136,path=ep8_full_context_fine; B ringB=28672 mini/SM=4096/50,9.979712009429932,2354.3204847794123,294.29006059742653,path=ep8_full_context_fine; F kernelB=217088 mini/SM=13568/52; B ringB=28672 mini/SM=4096/50,16.304287910461426,2881.4146503053526,360.17683128816907,1.1939118722462423,-16.122280035985202,-15.511199944485021,True,2.3369443880500014,-57.2007774740098,-56.87951831427815,True,1.8918007040710891,-47.248298893307435,-46.9173198527735,True,1.0680108222155138,-6.499889869898828,-5.170041048411186,True,2.056113885760185,-51.298565200012376,-51.015669159561185,True,1.6655986373647842,-39.97820987295002,-39.71414262525569,True
20k,20480,217088,32768,ep8_full_context_fine,F kernelB=32768 mini/SM=4096/40,7.440288066864014,3156.325860095118,394.54073251188976,B ringB=32768 mini/SM=4096/28,22.76200008392334,1032.222139063899,129.02776738298738,F kernelB=32768 mini/SM=4096/40; B ringB=32768 mini/SM=4096/28,30.185808181762695,1556.3411045718983,194.5426380714873,F kernelB=32768 mini/SM=4096/52,6.619760036468506,3547.5566338697945,443.4445792337243,B ringB=32768 mini/SM=4096/54,19.7260799407959,1191.08512621449,148.88564077681124,F kernelB=32768 mini/SM=4096/52; B ringB=32768 mini/SM=4096/54,26.33787250518799,1783.7209151478,222.965114393475,path=ep8_full_context_fine; F kernelB=217088 mini/SM=13568/52,6.302639961242676,3726.0534913007664,465.7566864125958,path=ep8_full_context_fine; B ringB=32768 mini/SM=4096/50,9.957839965820312,2359.4916665307624,294.9364583163453,path=ep8_full_context_fine; F kernelB=217088 mini/SM=13568/52; B ringB=32768 mini/SM=4096/50,16.262720108032227,2888.7795975039053,361.09744968798816,1.1805034259639084,-15.470386327823748,-14.262640721856027,True,2.2858371054417965,-56.251275362402225,-55.98422429474604,True,1.8561352578929153,-46.124937223792,-45.867596135631636,True,1.050315435623155,-5.0637329603386405,-3.7983733673887787,True,1.9809597270597321,-49.534374921023534,-49.4250564455964,True,1.6195244295066975,-38.32163184287596,-38.00685670049108,True
20k,20480,217088,36864,ep8_full_context_fine,F kernelB=36864 mini/SM=4096/40,7.250864028930664,3238.7827903405528,404.8478487925691,B ringB=36864 mini/SM=4096/28,21.938960075378418,1070.9459489088722,133.86824361360902,F kernelB=36864 mini/SM=4096/40; B ringB=36864 mini/SM=4096/28,29.233792304992676,1607.024280595188,200.8780350743985,F kernelB=36864 mini/SM=4096/52,6.488911867141724,3619.092709660174,452.38658870752175,B ringB=36864 mini/SM=4096/56,18.86718463897705,1245.3071756907282,155.66339696134102,F kernelB=36864 mini/SM=4096/52; B ringB=36864 mini/SM=4096/54,25.433039665222168,1847.1804655045198,230.89755818806498,path=ep8_full_context_fine; F kernelB=217088 mini/SM=13568/52,6.292896032333374,3731.8229176737664,466.4778647092208,path=ep8_full_context_fine; B ringB=36864 mini/SM=4096/50,9.9344162940979,2365.0549484179346,295.6318685522418,path=ep8_full_context_fine; F kernelB=217088 mini/SM=13568/52; B ringB=36864 mini/SM=4096/50,16.197711944580078,2900.3734730398014,362.5466841299752,1.152230068902327,-13.377936310954203,-12.385622025873248,True,2.2083793779019,-54.703932212312964,-54.5473043303072,True,1.8048099882881672,-44.54606217176044,-44.1912534508912,True,1.0311487483348216,-3.325070912057865,-2.0217752897249364,True,1.8991739504802274,-47.32916979496678,-47.22576596623036,True,1.5701624866672805,-36.35343126944288,-35.89823198736337,True
20k,20480,217088,40960,ep8_full_context_fine,F kernelB=40960 mini/SM=4096/40,7.5878400802612305,3094.9484153060203,386.86855191325253,B ringB=40960 mini/SM=4096/28,21.725936889648438,1081.446592399643,135.18082404995536,F kernelB=40960 mini/SM=4096/40; B ringB=40960 mini/SM=4096/28,29.32420825958252,1602.0693084747868,200.25866355934835,F kernelB=40960 mini/SM=4096/52,6.72107195854187,3494.081565687451,436.7601957109314,B ringB=40960 mini/SM=4096/52,18.84979248046875,1246.456184615552,155.807023076944,F kernelB=40960 mini/SM=4096/52; B ringB=40960 mini/SM=4096/52,25.60094451904297,1835.065655997766,229.38320699972076,path=ep8_full_context_fine; F kernelB=217088 mini/SM=13568/52,6.2700159549713135,3745.4408091864966,468.1801011483121,path=ep8_full_context_fine; B ringB=40960 mini/SM=4096/52,10.22547197341919,2297.7365227811197,287.21706534763996,path=ep8_full_context_fine; F kernelB=217088 mini/SM=13568/52; B ringB=40960 mini/SM=4096/50,16.222623825073242,2895.9195845612785,361.9899480701598,1.2101787514982403,-17.443825158307703,-16.452296482911176,True,2.1246879308969175,-52.90644788432278,-52.66523336722241,True,1.8076119236803005,-44.69743891577877,-44.43357983077234,True,1.0719385734916556,-6.809899402336555,-5.262534639876997,True,1.8434153973008018,-45.712261732843416,-45.53897069864379,True,1.5781013475437218,-36.66648427124176,-36.22428224969706,True
20k,20480,217088,61440,ep8_full_context_fine,F kernelB=61440 mini/SM=4096/40,7.28108811378479,3225.3384748276,403.16730935345,B ringB=61440 mini/SM=4096/28,19.901007652282715,1180.6156163808616,147.5769520476077,F kernelB=61440 mini/SM=4096/40; B ringB=61440 mini/SM=4096/28,27.226672172546387,1725.4923315737058,215.68654144671322,F kernelB=61440 mini/SM=4096/50,6.562256097793579,3578.6432717699013,447.33040897123766,B ringB=61440 mini/SM=15360/50,16.513232231140137,1422.8250464311302,177.85313080389128,F kernelB=61440 mini/SM=4096/52; B ringB=61440 mini/SM=15360/50,23.101024627685547,2033.6506629103053,254.20633286378816,path=ep8_full_context_fine; F kernelB=217088 mini/SM=13568/52,6.268815994262695,3746.157751877364,468.2697189846705,path=ep8_full_context_fine; B ringB=61440 mini/SM=15360/50,8.71291208267212,2696.623148846729,337.0778936058411,path=ep8_full_context_fine; F kernelB=217088 mini/SM=13568/52; B ringB=61440 mini/SM=15360/48,15.24889612197876,3080.840322617645,385.10504032720564,1.1614774018648082,-13.849647613466981,-12.35953250776328,True,2.2840822291620526,-56.253828668521386,-55.958769210719126,True,1.7854847954078228,-44.00827324961202,-43.42309742008703,True,1.0468094938182018,-4.736211614551367,-1.9277428287950744,True,1.8952598252404007,-47.35527178925098,-47.025966842478994,True,1.5149309460105276,-34.09430756657323,-33.29720400312284,True
20k,20480,217088,65536,ep8_full_context_fine,F kernelB=65536 mini/SM=4096/40,7.483360052108765,3138.1589912117565,392.26987390146957,B ringB=65536 mini/SM=4096/28,19.65748882293701,1195.2411942152416,149.4051492769052,F kernelB=65536 mini/SM=4096/40; B ringB=65536 mini/SM=4096/28,27.187695503234863,1727.9660220709131,215.99575275886414,F kernelB=65536 mini/SM=4096/52,6.676336050033569,3517.4942447484977,439.6867805935622,B ringB=65536 mini/SM=16384/50,16.543776512145996,1420.1981269965947,177.52476587457434,F kernelB=65536 mini/SM=4096/52; B ringB=65536 mini/SM=16384/50,23.282687187194824,2017.783156655477,252.2228945819346,path=ep8_full_context_fine; F kernelB=217088 mini/SM=13568/52,6.24943995475769,3757.7725047380736,469.7215630922592,path=ep8_full_context_fine; B ringB=65536 mini/SM=16384/50,8.646944046020508,2717.1958429421156,339.64948036776445,path=ep8_full_context_fine; F kernelB=217088 mini/SM=13568/50; B ringB=65536 mini/SM=16384/50,14.972928047180176,3137.623709936117,392.2029637420146,1.1974449080691931,-16.064953601862832,-14.977820148284113,True,2.2733452093961186,-55.96847714329523,-55.44600311195093,True,1.8157901659291733,-44.995876607652356,-44.446964351767264,True,1.068309496269483,-5.973518706418207,-3.9967024431303897,True,1.913251250857783,-47.714531576244745,-47.14357519486587,True,1.5549855788948115,-35.59087531473466,-35.1455497316342,True
